name,set,total,usd,usd_foil,usd_etched,release_date,year
Plains,Game Night,0.25,0.25,0.0,0.0,2018-11-16,2018
Plains,Treasure Chest,0.0,0.0,0.0,0.0,2018-12-06,2018
Plains,MagicFest 2019,0.58,0.0,0.58,0.0,2019-01-01,2019
Plains,Ravnica Allegiance,1.16,0.31,0.85,0.0,2019-01-25,2019
Plains,RNA Guild Kit,0.8899999999999999,0.8899999999999999,0.0,0.0,2019-02-15,2019
Plains,RNA Ravnica Weekend,6.6499999999999995,0.0,6.6499999999999995,0.0,2019-02-16,2019
Plains,War of the Spark,1.6,0.19,1.4100000000000001,0.0,2019-05-03,2019
Plains,Core Set 2020,1.37,0.47000000000000003,0.9,0.0,2019-07-12,2019
Plains,M20 Promo Packs,1.0,0.4,0.6,0.0,2019-07-12,2019
Plains,Commander 2019,0.19,0.19,0.0,0.0,2019-08-23,2019
Plains,Throne of Eldraine,1.51,0.62,0.89,0.0,2019-10-04,2019
Plains,Game Night 2019,1.29,1.29,0.0,0.0,2019-11-15,2019
Plains,MagicFest 2020,0.33,0.0,0.33,0.0,2020-01-01,2020
Plains,Theros Beyond Death,3.7899999999999996,1.44,2.35,0.0,2020-01-24,2020
Plains,Unsanctioned,4.18,1.91,2.27,0.0,2020-02-29,2020
Plains,Ikoria: Lair of Behemoths,1.3800000000000001,0.6900000000000001,0.69,0.0,2020-04-24,2020
Plains,Core Set 2021,2.06,0.78,1.28,0.0,2020-07-03,2020
Plains,Jumpstart,4.14,4.14,0.0,0.0,2020-07-17,2020
Plains,Secret Lair Drop,343.51,132.10999999999999,192.82,18.58,2020-07-31,2020
Plains,Double Masters,4.2,1.04,3.16,0.0,2020-08-07,2020
Plains,Amonkhet Remastered,0.0,0.0,0.0,0.0,2020-08-13,2020
Plains,Arena Beginner Set,0.0,0.0,0.0,0.0,2020-08-13,2020
Plains,The List,3.52,3.52,0.0,0.0,2020-09-01,2020
Plains,Zendikar Rising,1.97,0.74,1.23,0.0,2020-09-25,2020
Plains,Kaladesh Remastered,0.0,0.0,0.0,0.0,2020-11-12,2020
Plains,Commander Legends,0.16,0.16,0.0,0.0,2020-11-20,2020
Plains,Kaldheim,0.79,0.46,0.33,0.0,2021-02-05,2021
Plains,Strixhaven: School of Mages,0.33999999999999997,0.16,0.18,0.0,2021-04-23,2021
Plains,Modern Horizons 2,0.8099999999999999,0.11,0.15,0.55,2021-06-18,2021
Plains,Adventures in the Forgotten Realms,0.79,0.30000000000000004,0.49,0.0,2021-07-23,2021
Plains,Innistrad: Midnight Hunt,1.19,0.43000000000000005,0.76,0.0,2021-09-24,2021
Plains,Innistrad: Crimson Vow,17.42,0.58,1.29,15.55,2021-11-19,2021
Plains,Kamigawa: Neon Dynasty,8.6,3.5,5.1,0.0,2022-02-18,2022
Plains,Streets of New Capenna,1.5899999999999999,0.5800000000000001,1.01,0.0,2022-04-29,2022
Plains,Commander Legends: Battle for Baldur's Gate,0.73,0.31,0.42,0.0,2022-06-10,2022
Plains,Alchemy Horizons: Baldur's Gate,0.0,0.0,0.0,0.0,2022-07-07,2022
Plains,Dominaria United,4.24,1.65,2.5900000000000003,0.0,2022-09-09,2022
Plains,Unfinity,18.35,2.8800000000000003,15.469999999999999,0.0,2022-10-07,2022
Plains,"Warhammer 40,000 Commander",0.46,0.12,0.34,0.0,2022-10-07,2022
Plains,Game Night: Free-for-All,0.36,0.36,0.0,0.0,2022-10-14,2022
Plains,The Brothers' War,1.58,0.68,0.9,0.0,2022-11-18,2022
Plains,The Brothers' War Commander,0.21000000000000002,0.21000000000000002,0.0,0.0,2022-11-18,2022
